1;Koavf;1480343;AC, AP, EC, EV, F, IP, Rv, Ro, TE
2;Ser Amantio di Nicolao;1203859;Ad
3;Waacstats;1203047;AP, Rv
4;Rich Farmbrough;1021081;Ab, AP, F, Ro, TE
5;Bearcat;789337;Ad
6;Rjwilmsi;742192;Rv, Ro
7;BD2412;659033;Ad
8;Hmains;656213;AP, Rv
9;Woohookitty;606792;Ad
10;Magioladitis;602211;Ad
11;Tassedethe;591155;Ad
12;[Placeholder];559659;
13;Dr. Blofeld;551584;AP, Rv, Ro, TE
14;Materialscientist;547973;Ab, Ch, Ad
15;Carlossuarez46;468503;Ad
16;[Placeholder];456854;
17;Sfan00 IMG;455558;AP, F
18;Lugnuts;422451;AP, Rv
19;BrownHairedGirl;416523;Ad
20;Alansohn;408283;AP, EC, Rv, Ro
21;WhisperToMe;408002;Ad
22;Gene93k;401379;AP, Rv
23;Jllm06;400668;AP, Rv
24;Bgwhite;396991;Ad
25;Courcelles;390091;Ab, Ch, O, Ad
26;Kwamikagami;366178;AP
27;WOSlinker;357339;Ad
28;John of Reading;356365;Rv, TE
29;TonyTheTiger;345464;AP, F, IP, Rv, Ro
30;Chris the speller;334336;AP, Rv
31;Fortdj33;328468;AP, Rv, Ro
32;Kumioko (renamed);318300;
33;Skier Dude;315466;
34;Tim!;313894;Ad
35;Northamerica1000;312987;Ad
36;R'n'B;310601;Ad
37;J.delanoy;310172;Ro
38;Frietjes;302921;AP, TE
39;Hugo999;298240;AP, IP, Rv
40;Charles Matthews;294924;Ad
41;Epbr123;291664;Ad
42;Bender235;278641;AP, Rv, Ro
43;Ohconfucius;277022;AP, Rv
44;Aboutmovies;271446;AP, Rv, Ro
45;Vegaswikian;270507;Ad
46;EP111;268222;
47;Mandarax;265917;AP, Rv, Ro
48;Discospinster;259788;Ad
49;Ruigeroeland;255301;AP, Rv
50;Johnpacklambert;255287;AP, Rv
51;GoingBatty;252064;AP, IP, Rv, Ro
52;Armbrust;246005;AP, F, Rv
53;[Placeholder];244933;
54;Gilliam;238945;Ad
55;Dl2000;237199;AP, Rv, Ro
56;Colonies Chris;232592;Rv, Ro
57;Nyttend;232448;Ab, Ad
58;Wizardman;227562;B, Ad
59;Dawynn;222218;Rv
60;OccultZone;221751;
61;Ryulong;218132;
62;TenPoundHammer;216761;AP, Rv, Ro
63;NawlinWiki;214738;Ab, Ad
64;Dthomsen8;212411;AP, MM, Rv, Ro
65;Tide rolls;211313;Ad
